,Name,Difficulty,Number of reviews,Location,Distance,Elevation Gain,Route Type,Features,Rating
3667,Antelope Ridge Cave Trail,EASY,13,"Aldergate Park
",1.2 miles,606 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, walking, bird watching, cave, views, wild flowers, wildlife, no shade,",3.9
3668,Escalator Trail and Meiner's Loop,MODERATE,13,"Redding, California
",7.5 miles,944 feet,Loop,"dog friendly, hiking, mountain biking, nature trips, trail running, walking, forest,",4.4
3669,East Avenue and Ward Creek Trail Loop,MODERATE,12,"East Avenue Park
",3.7 miles,600 feet,Loop,"dogs on leash, kid friendly, hiking, trail running, walking, wild flowers, wildlife,",4.5
3670,Vermilion Campground and Lake Thomas Edison,MODERATE,9,"Sierra National Forest
",9.4 miles,"1,289 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, trail running, lake,",4.4
3671,Rollins Lake Dam Trail,EASY,10,"Colfax, California
",2.3 miles,456 feet,Out & Back,"dogs on leash, kid friendly, hiking, nature trips, bird watching, forest, lake, wildlife,",3.9
3672,Dog Dome and Dog Lake,EASY,4,"Yosemite National Park
",3.0 miles,643 feet,Out & Back,"hiking, nature trips, walking, bird watching, forest, lake, views, wild flowers, wildlife,",4.8
3673,Mission Point via Weldon Trail,MODERATE,14,"Michael D. Antonovich Open Space
",9.0 miles,"1,794 feet",Out & Back,"dogs on leash, hiking, nature trips, trail running, walking, bird watching, views, wild flowers,",4.3
3674,Springhill Valley Trail,MODERATE,6,"Briones Regional Park
",1.4 miles,538 feet,Out & Back,"dogs on leash, hiking, trail running, walking, bird watching, views, wildlife,",3.7
3675,Monarch Butterfly Natural Preserve Loop,EASY,8,"Natural Bridges State Park
",0.6 miles,22 feet,Loop,"kid friendly, hiking, nature trips, walking, bird watching, forest, views, wildlife, no dogs,",4.5
3676,Saline Valley OHV Road,MODERATE,7,"Death Valley National Park
",82.4 miles,"10,164 feet",Point to Point,"nature trips, off road driving, views, wildlife,",4.1
3677,Twaine Harte Old Railroad Grade,MODERATE,9,"Twain Harte, California
",4.8 miles,482 feet,Out & Back,"dogs on leash, hiking, trail running, walking, forest, rails trails, historic site,",3.6
3678,"Ferry Building to Marina Green, Chrissy Field, and the Golden Gate Bridge",EASY,7,"San Francisco, California
",10.0 miles,180 feet,Out & Back,"dogs on leash, kid friendly, road biking, trail running, walking, beach, views,",4.4
3679,Rocky Peak via Chumash Trail,MODERATE,8,"Rocky Peak Park
",8.5 miles,"1,804 feet",Out & Back,"dogs on leash, hiking, nature trips, walking, bird watching, views, wild flowers, wildlife,",4.5
3680,Rancho San Vicent North Ridge Trail,EASY,17,"Rancho San Vicente Open Space Preserve
",1.8 miles,196 feet,Loop,"hiking, horseback riding, mountain biking, nature trips, walking, views, wild flowers,",4
3681,Barker Pass OHV Road,HARD,6,"Tahoe National Forest
",23.2 miles,"3,018 feet",Out & Back,"dogs on leash, off road driving, forest, lake, views, wildlife,",4
3682,Madrugada Trail,EASY,15,"Chino Hills, California
",2.0 miles,157 feet,Out & Back,"dog friendly, kid friendly, trail running, walking, paved, no shade, city walk,",4.3
3683,Bradford Trail and PCT- Deep Creek Hot Springs Loop,MODERATE,4,"San Bernardino National Forest
",14.1 miles,"2,263 feet",Loop,"hiking, mountain biking, nature trips, walking, bird watching, hot springs, views, wild flowers, wildlife,",5
3684,Lower Hectic Trail Loop,MODERATE,11,"Los Angeles, California
",2.2 miles,872 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, trail running, walking, bird watching, views, wild flowers,",4.4
3685,Bidwell Park Lower Trail,EASY,15,"Bidwell Park
",5.0 miles,259 feet,Out & Back,"dog friendly, kid friendly, hiking, mountain biking, nature trips, walking, bird watching, forest, views, wild flowers,",4.3
3686,Azalea Hill and Alpine Lake Trail,MODERATE,13,"Mount Tamalpais Watershed
",2.8 miles,597 feet,Loop,"dogs on leash, hiking, nature trips, trail running, bird watching, lake, wild flowers, wildlife,",4.1
3687,Wildwood Canyon Trail,MODERATE,24,"Santa Clarita, California
",2.3 miles,918 feet,Out & Back,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife,",4.4
3688,Cooskie Creek Route,MODERATE,4,"King Range Wilderness
",23.9 miles,"3,681 feet",Loop,"backpacking, camping, hiking, nature trips, walking, bird watching, beach, forest, views, wild flowers, wildlife,",4.8
3689,North Whisper Ranch Trail,EASY,12,"Yucaipa, California
",1.6 miles,308 feet,Out & Back,"dogs on leash, kid friendly, hiking, mountain biking, trail running, walking, views,",4
3690,Palos Verdes Coastline Trail,HARD,7,"Palos Verdes Peninsula, California
",7.0 miles,462 feet,Out & Back,"hiking, nature trips, beach, views, rocky, washed out, no shade,",4.1
3691,"Stage Road, Mt Diablo, Wall Point and Borges Trail Loop",MODERATE,9,"Diabio Foothils Regional Park
",7.8 miles,"1,233 feet",Loop,"dogs on leash, kid friendly, hiking, mountain biking, nature trips, trail running, bird watching, views, wildlife,",3.6
3692,Union Creek Trail to Union Lake,MODERATE,5,"Trinity Alps Wilderness
",12.3 miles,"2,188 feet",Out & Back,"dog friendly, kid friendly, backpacking, camping, hiking, horseback riding, nature trips, trail running, bird watching, forest, lake, views, wild flowers, wildlife, snow,",4.2
3693,Windmill Canyon via Wishbone Trail,EASY,16,"Westlake Village Park
",2.3 miles,518 feet,Out & Back,"dogs on leash, hiking, nature trips, trail running, views, wild flowers, wildlife, no shade,",4.8
3694,Arastradero Creek and Acorn Trail Loop,MODERATE,9,"Arastradero Preserve
",2.5 miles,311 feet,Loop,"hiking, nature trips, trail running, walking, bird watching, views, wild flowers,",3.8
3695,Santa Clara Divide Road to Los Pinetos,MODERATE,8,"Angeles National Forest
",9.1 miles,"2,116 feet",Out & Back,"dogs on leash, hiking, horseback riding, mountain biking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife, no shade,",4.2
3696,Schabarum and Skyline Trail,HARD,8,"Rowland Heights, California
",14.7 miles,"2,706 feet",Point to Point,"dogs on leash, hiking, horseback riding, mountain biking, trail running, views, wild flowers, wildlife,",4.2
3697,Mission Point via Bee Canyon and Decampos Trail Loop,MODERATE,13,"O'Melveny Park
",5.4 miles,"1,492 feet",Loop,"dogs on leash, hiking, nature trips, trail running, views, wildlife,",4.2
3698,General Creek Trail to Lily Pond,EASY,11,"Ed Z'berg Sugar Pine Point State Park
",5.5 miles,337 feet,Loop,"kid friendly, hiking, nature trips, walking, bird watching, forest, views, wild flowers, wildlife, no dogs,",3.5
3699,Pinhead Peak Trail,EASY,12,"Caspers Wilderness Park
",2.3 miles,370 feet,Out & Back,"kid friendly, hiking, horseback riding, trail running, walking, bird watching, views, wild flowers, wildlife, no dogs,",4
3700,Upper Cabin Trail Loop,HARD,15,"Santa Monica Mountains National Recreation Area
",8.8 miles,"2,683 feet",Out & Back,"hiking, mountain biking, nature trips, bird watching, views, wild flowers, wildlife, rocky, scramble, no dogs,",4.5
3701,Woodland Star Trail to Meadowlark Trail Loop,MODERATE,11,"Arastradero Preserve
",2.5 miles,337 feet,Loop,"dogs on leash, hiking, mountain biking, nature trips, trail running, walking, bird watching, forest, views,",4.3
3702,Granite Chief Peak from Squaw,HARD,8,"Olympic Valley, California
",6.8 miles,"2,824 feet",Point to Point,"hiking, nature trips, snowshoeing, trail running, bird watching, forest, views, snow,",4.7
3703,Fossil Hill Loop Trail,MODERATE,15,"Shell Ridge Open Space
",3.3 miles,593 feet,Loop,"dog friendly, hiking, mountain biking, nature trips, walking, bird watching, views,",3.5
3704,"Portola ""P"" Trail",MODERATE,11,"Plumas National Forest
",3.4 miles,777 feet,Out & Back,"dog friendly, hiking, off road driving, trail running, forest, views, wild flowers, rocky, washed out,",4.2
3705,Norco Mountain via Powerline Road,MODERATE,16,"Norco, California
",2.3 miles,643 feet,Out & Back,"hiking, trail running, walking, paved, views, wildlife,",4.2
3706,Bootjack Camp to Stinson Beach,MODERATE,3,"Mount Tamalpais State Park
",4.4 miles,242 feet,Point to Point,"hiking, nature trips, trail running, beach, forest, views, wildlife,",4.4
3707,"Upper Yosemite Falls, North Dome, Indian Rock, Snow Creek",HARD,9,"Yosemite National Park
",16.8 miles,"5,587 feet",Point to Point,"backpacking, hiking, nature trips, bird watching, forest, views, wild flowers, wildlife,",4.6
3708,Arroyo Conejo Trail,EASY,14,"Aroyo Conejo Open Space
",3.9 miles,577 feet,Loop,"kid friendly, hiking, mountain biking, nature trips, trail running, views, waterfall, wild flowers, wildlife, rocky, no shade, no dogs,",3.8
3709,"Tarwater, Pomponio, and Canyon Trail Loop",MODERATE,12,"Pescadero Creek County Park
",7.4 miles,"1,345 feet",Loop,"hiking, nature trips, walking, bird watching, views,",4
3710,Old Big Oak Flat to Yosemite Falls,MODERATE,7,"Yosemite National Park
",16.4 miles,"4,314 feet",Point to Point,"backpacking, camping, fishing, hiking, trail running, river, views, waterfall, wild flowers, wildlife, bugs, over grown, rocky, scramble, historic site, no dogs,",4.4
3711,Sand Ridge and Lindsey Lakes Loop,MODERATE,3,"Tahoe National Forest
",19.5 miles,"3,418 feet",Loop,"dogs on leash, backpacking, hiking, trail running, forest, lake, wildlife, snow,",4.2
3712,Big Bend Trail to Old Emerald Falls Trail,MODERATE,8,"Laguna Coast Wilderness Park
",6.9 miles,"1,774 feet",Out & Back,"hiking, nature trips, walking, bird watching, views, wild flowers, no dogs,",4.3
3713,Powder Mill Fire Road Trail,EASY,14,"Henry Cowell Redwoods State Park
",1.5 miles,285 feet,Loop,"kid friendly, hiking, horseback riding, nature trips, walking, bird watching, views, wild flowers, wildlife, no dogs,",3.8
3714,Crumbaugh Lake via Cold Boiling Lake Trail,MODERATE,7,"Lassen Volcanic National Park
",2.6 miles,298 feet,Out & Back,"kid friendly, hiking, nature trips, walking, bird watching, forest, lake, views, wild flowers, no dogs,",4.3
3715,Bommer Canyon East Fork Loop,MODERATE,10,"Bommer Canyon Open Space Preserve
",3.2 miles,570 feet,Loop,"hiking, walking, views, wild flowers, wildlife, no dogs,",4.3
3716,San Pedro Peninsula Shoreline Trail,MODERATE,7,"China Camp State Park
",8.8 miles,725 feet,Out & Back,"hiking, horseback riding, mountain biking, nature trips, road biking, trail running, walking, bird watching, beach, views, wild flowers, no dogs,",3.9
3717,"Myers Ranch, High Ridge Loop",MODERATE,11,"Dry Creek Pioneer Regional Park
",5.2 miles,"1,082 feet",Loop,"dog friendly, hiking, nature trips, trail running, walking, bird watching, forest, views, wild flowers,",4.3
3718,Salmon Creek Trailhead to Buckeye Camp,HARD,11,"Los Padres National Forest
",6.8 miles,"2,080 feet",Out & Back,"dogs on leash, backpacking, camping, hiking, trail running, forest, views, wildlife,",4.9
3719,"Eastside, Juaquapin, Dyar Spring and Harvey Moore Loop",MODERATE,11,"Cuyamaca Rancho State Park
",6.2 miles,869 feet,Loop,"backpacking, hiking, nature trips, trail running, forest, wildlife, no dogs,",4.5
3720,Stifle Claim Trail to Traverse Creek Loop Trail,MODERATE,14,"El Dorado National Forest
",1.8 miles,314 feet,Loop,"dogs on leash, hiking, nature trips, walking, bird watching, views,",3.6
3721,Slate Mountain via Windy Gap Trail,MODERATE,3,"Sequoia National Forest
",7.7 miles,"1,971 feet",Out & Back,"dogs on leash, backpacking, hiking, trail running, views, over grown,",4.3
3722,Yerba Buena Trail to Low Huecos Trail Loop,MODERATE,9,"Joseph D Grant County Park
",5.9 miles,"1,256 feet",Loop,"dogs on leash, hiking, nature trips, trail running, walking, bird watching, forest, views, wild flowers, wildlife,",4.6
3723,"Timber Top, Boranda and Deangulo Trail Loop",HARD,3,"Big Sur, California
",10.7 miles,"3,087 feet",Loop,"hiking, nature trips, trail running, bird watching, forest, views, wild flowers, wildlife, scramble, no dogs,",4
3724,Russian River: Steelhead Beach Regional Park to Guerneville,MODERATE,5,"Forestville, California
",8.3 miles,91 feet,Point to Point,"nature trips, paddle sports, bird watching, river, views, wildlife, no dogs,",4.6
3725,Wildcat Canyon to Vollmer Peak,HARD,9,"Wildcat Canyon Regional Park
",10.6 miles,"2,516 feet",Point to Point,"dogs on leash, hiking, horseback riding, mountain biking, trail running, forest, views, wild flowers, rocky, scramble,",4.2
3726,Rim Trail: Short Version,EASY,5,"San Gabriel Mountains National Monument
",3.4 miles,902 feet,Out & Back,"dogs on leash, hiking, trail running, forest, views, wildlife,",4.4
3727,"Rubio Canyon, Lone Tree and Gooseberry Loop",MODERATE,15,"Angeles National Forest
",2.4 miles,757 feet,Loop,"kid friendly, hiking, nature trips, trail running, river, wild flowers, wildlife,",4.4
3728,Marvin Gerst Trail,EASY,10,"San Diego, California
",4.4 miles,141 feet,Out & Back,"dogs on leash, kid friendly, hiking, nature trips, road biking, trail running, walking, bird watching, partially paved, river, views, wild flowers, wildlife,",3.8
3729,SF Bay Trail: Roberts Landing to Marina Park,EASY,10,"Hayward Regional Shoreline
",6.6 miles,68 feet,Out & Back,"dog friendly, kid friendly, fishing, nature trips, road biking, trail running, walking, bird watching, beach, views, wildlife, no shade,",4.2
3730,Omega Mine Overlook,EASY,6,"South Yuba River State Park
",0.3 miles,52 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, walking, bird watching, views,",4.2
3731,"Whiting, Dreaded Hill, and Line Shack Road Loop",MODERATE,6,"Whiting Ranch Wilderness Park
",3.9 miles,938 feet,Loop,"kid friendly, hiking, trail running, walking, views, wildlife,",4.3
3732,"Seaview Trail, Arroyo Trail, Volmer Peak Trail Loop",MODERATE,10,"Tilden Regional Park
",2.1 miles,501 feet,Loop,"dog friendly, hiking, nature trips, trail running, walking, bird watching, views, wild flowers, wildlife,",4.3
3733,Hell Hole Reservoir OHV Trail,HARD,3,"El Dorado National Forest
",7.9 miles,"1,551 feet",Out & Back,"dog friendly, fishing, hiking, nature trips, off road driving, bird watching, wild flowers, wildlife, rocky,",3.8
3734,"Fish Canyon Falls Trail [closed,]",MODERATE,299,"San Gabriel Mountains National Monument
",7.5 miles,"3,038 feet",Out & Back,"dogs on leash, hiking, nature trips, trail running, bird watching, forest, views, waterfall, wild flowers, wildlife, rocky, closed, historic site,",4.2
3735,Fry Creek Trail,EASY,13,"Cleveland National Forest
",1.5 miles,331 feet,Loop,"kid friendly, hiking, nature trips, walking, forest, views, wild flowers, wildlife, no dogs,",3.4
3736,Redrock Meadows / Templeton Mountain Loop,HARD,4,"Inyo National Forest
",38.2 miles,"7,519 feet",Loop,"dogs on leash, backpacking, camping, hiking, nature trips, bird watching, forest, views, wildlife,",5
3737,Hummingbird Trail to Rocky Peak to Chumash Trail Loop,HARD,9,"Rocky Peak Park
",9.4 miles,"2,047 feet",Loop,"dogs on leash, hiking, mountain biking, nature trips, trail running, walking, bird watching, views, no shade,",4.4
3738,Mortero Wash OHV Trail,MODERATE,9,"Anza-Borrego Desert State Park
",18.0 miles,"1,555 feet",Loop,"off road driving, views, rocky, no dogs,",4.3
3739,Dictionary Hill Summit,MODERATE,17,"Spring Valley, California
",2.2 miles,479 feet,Out & Back,"hiking, trail running, views,",3.8
3740,Frank Bogert to Wildhorse,MODERATE,16,"Palm Springs, California
",3.8 miles,990 feet,Out & Back,"hiking, nature trips, trail running, walking, views, no shade, no dogs,",4.3
3741,Hole-in-the-Wall to Mid Hills Loop,MODERATE,6,"Mojave National Preserve
",15.5 miles,"2,473 feet",Out & Back,"dogs on leash, hiking, mountain biking, views, wild flowers, wildlife, no shade,",3.3
3742,Trans Catalina Trail: Two Harbors to Avalon,HARD,10,"Avalon, California
",37.7 miles,"6,722 feet",Point to Point,"backpacking, camping, hiking, nature trips, beach, views,",4.5
3743,Englesman Loop Trail to Wild Boar Trail,MODERATE,3,"Wilder Ranch State Park
",4.5 miles,531 feet,Loop,"hiking, mountain biking, nature trips, walking, bird watching, forest, views, wild flowers, no dogs,",4.7
3744,Miwok Trail to Fox Trail Loop,MODERATE,6,"Mill Valley, California
",3.9 miles,980 feet,Loop,"hiking, mountain biking, nature trips, trail running, walking, bird watching, views, no dogs,",4.7
3745,Horseshoe Meadow to the Kern River,MODERATE,3,"Golden Trout Wilderness
",37.6 miles,"6,978 feet",Out & Back,"dog friendly, backpacking, camping, hiking, nature trips, walking, bird watching, forest, river, views, wild flowers,",5
3746,East Bay Skyline National Trail,HARD,3,"Richmond, California
",32.6 miles,"5,672 feet",Point to Point,"hiking, nature trips, bird watching, forest, views, wild flowers,",5
3747,Monkey Face Loop,EASY,12,"Bidwell Park
",1.1 miles,295 feet,Loop,"dogs on leash, kid friendly, hiking, nature trips, walking, forest, lake, views, wild flowers, wildlife,",4.1
3748,Fleener Creek Trail,MODERATE,12,"Ferndale, California
",1.3 miles,367 feet,Out & Back,"dog friendly, kid friendly, hiking, nature trips, surfing, walking, bird watching, beach, views, wild flowers, wildlife,",4.1
3749,Pulgas Water Temple Area Exploration,EASY,9,"San Francisco Peninsula Watershed
",4.1 miles,374 feet,Out & Back,"kid friendly, hiking, nature trips, walking, lake, wild flowers, no dogs,",3.9
